id,Country Name,Category,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
43,Cameroon,Country,CMR,"Population ages 0-14, total",SP.POP.0014.TO,1998193,2050448,2107710,2172062,2245299,2321823,2398703,2479140,2563120,2650360,2741164,2835899,2933713,3034037,3136636,3241281,3347796,3456695,3569688,3687226,3813849,3949693,4082298,4213738,4352956,4498546,4650435,4809024,4971374,5135491,5302073,5469214,5634791,5798144,5957502,6110917,6256015,6393016,6531245,6677724,6827762,6976906,7130303,7294521,7470337,7654393,7845336,8045749,8256357,8476959,8707732,8946586,9190989,9438310,9691183,9954413,10228185,10504681,10774562,11036667,11291870,11540518,11782957
44,"Congo, Dem. Rep.",Country,COD,"Population ages 0-14, total",SP.POP.0014.TO,6559160,6711334,6873020,7052525,7252498,7471077,7706218,7954383,8212931,8480424,8757238,9041600,9331783,9626572,9924886,10226714,10529066,10829486,11144680,11483085,11828700,12176701,12531023,12896219,13284221,13695794,14126906,14582680,15060068,15555159,16073978,16619147,17180520,17769811,18450287,19168981,19825569,20448820,21087716,21749441,22423393,23113616,23822507,24549011,25301809,26091467,26924312,27799987,28720901,29686678,30661822,31666071,32751712,33916691,35134841,36382110,37671668,39004439,40363675,41750474,43171085,44614746,46076840
45,"Congo, Rep.",Country,COG,"Population ages 0-14, total",SP.POP.0014.TO,448186,462684,477943,493368,509095,525763,543219,561464,580584,600659,621632,643586,666622,690462,714896,737954,759014,779576,799449,818171,835609,852054,867490,881378,900002,924915,950850,977222,1003996,1030932,1057119,1083057,1109338,1136669,1165213,1194123,1223301,1251286,1279590,1307911,1338720,1371593,1402429,1436090,1474417,1517036,1564146,1615267,1669937,1732891,1802281,1871405,1938660,2003288,2066035,2126934,2183990,2236665,2287083,2333507,2376206,2416094,2450899
46,Colombia,Country,COL,"Population ages 0-14, total",SP.POP.0014.TO,7340011,7601932,7866701,8133389,8392488,8637399,8870209,9087986,9286852,9464230,9619859,9753804,9867736,9965602,10050884,10127421,10198728,10269623,10343522,10421608,10506283,10598670,10700270,10811957,10934217,11063140,11200981,11350942,11508022,11669702,11832459,11989567,12137133,12273940,12396242,12502230,12592363,12666672,12727166,12774954,12809248,12829133,12833250,12819709,12786194,12730950,12649819,12545248,12423131,12291658,12159454,12025308,11889103,11752627,11615886,11484897,11372905,11294432,11244835,11205870,11165204,11125504,11071439
47,Comoros,Country,COM,"Population ages 0-14, total",SP.POP.0014.TO,80479,82839,85407,88196,91111,93887,96519,99335,102334,105323,108318,111384,114575,117930,121489,125216,129204,133535,138168,143107,148221,153295,158286,163339,168539,173859,179242,184649,190064,195474,200766,205826,210818,215723,220292,224567,228640,232511,236178,240521,246050,252237,258601,262967,264739,266058,267649,269344,271179,273244,275593,278240,281114,284163,287432,290956,294762,298391,302061,306015,310137,314381,318268
48,Cabo Verde,Country,CPV,"Population ages 0-14, total",SP.POP.0014.TO,91484,95166,99672,104247,108696,112918,116900,120743,124477,128116,131462,133968,135561,136786,137947,139789,142100,143984,145508,146716,148156,150023,151976,154018,156127,158329,160638,163036,165493,168068,171492,175587,179459,182946,185900,188229,190049,191546,192738,193634,193469,192142,190339,188094,185485,182624,179576,176320,172871,169275,166627,165335,164188,162843,161562,160458,159782,159542,159165,158462,157564,156468,155281
49,Costa Rica,Country,CRI,"Population ages 0-14, total",SP.POP.0014.TO,616506,641661,666442,690392,713174,735110,755899,774646,790617,804306,816406,826653,835076,841823,847623,853121,858889,865540,873551,883567,895623,909728,926387,946351,969160,994029,1020491,1047462,1074289,1100197,1124729,1147306,1167329,1184786,1199385,1211285,1220513,1226973,1230316,1230670,1228503,1223664,1215927,1206013,1195247,1184169,1173525,1164142,1156429,1149419,1141952,1134492,1127288,1120226,1113171,1105737,1098254,1092049,1086805,1080191,1070752,1059059,1045982
50,Caribbean small states,Region,CSS,"Population ages 0-14, total",SP.POP.0014.TO,1822800,1871541,1917672,1963051,2009960,2055863,2098169,2137803,2173744,2203906,2225232,2237831,2242856,2241217,2235410,2224472,2209982,2196006,2183150,2171210,2162013,2155218,2150292,2149157,2150723,2153698,2155899,2154660,2151702,2149034,2145087,2142065,2144745,2149561,2152426,2151648,2144549,2132852,2118675,2101397,2079221,2053757,2028547,2003787,1980536,1959451,1938475,1914952,1889987,1865655,1839123,1812651,1789880,1768647,1748842,1732165,1717130,1701174,1686632,1669219,1649203,1630301,1610668
51,Cuba,Country,CUB,"Population ages 0-14, total",SP.POP.0014.TO,2607197,2674528,2750276,2834131,2919250,2999655,3077273,3152913,3225242,3294177,3359281,3417554,3463550,3495205,3510695,3505676,3476602,3421220,3340535,3239800,3125745,3005586,2897062,2806451,2723282,2644032,2568933,2503262,2454708,2424232,2409437,2402578,2397726,2395889,2398157,2404584,2412561,2411616,2398158,2379321,2355997,2328446,2297458,2261260,2218509,2171649,2125249,2083899,2050087,2024132,2002795,1982826,1962169,1939831,1916059,1892923,1869428,1844506,1823775,1807062,1792351,1778440,1762635
52,Curacao,Territory,CUW,"Population ages 0-14, total",SP.POP.0014.TO,51632,52310,53116,53945,54701,55392,55782,56151,56740,57275,57613,57962,57109,55537,54659,53472,52095,50678,48935,47501,46400,45541,45054,44555,44133,43884,43568,43030,42276,41559,41101,40797,40603,40555,40380,40186,40097,39785,38566,36642,34589,32781,32259,32326,32253,32428,32702,32943,33014,32882,32933,32997,32849,32823,32862,32832,32575,31885,29663,28044,27446,26516,25728
53,Cayman Islands,Territory,CYM,"Population ages 0-14, total",SP.POP.0014.TO,3040,3154,3279,3408,3527,3630,3724,3810,3887,3948,4041,4187,4336,4468,4579,4671,4743,4794,4816,4821,4886,5009,5117,5217,5311,5404,5487,5554,5620,5707,5840,6002,6170,6354,6552,6760,6972,7177,7367,7551,7796,8076,8324,8554,8764,8959,9141,9320,9497,9676,9882,10102,10282,10418,10539,10662,10799,10962,11130,11275,11369,11436,11518
54,Cyprus,Country,CYP,"Population ages 0-14, total",SP.POP.0014.TO,213844,216514,215480,213829,211857,209933,208252,206581,204567,201985,198745,194869,190445,186674,183450,179815,176690,174236,172148,170677,169951,170007,171862,176024,180627,184376,187400,189891,192065,194025,195727,197038,198780,203282,208764,212205,213965,214432,213950,212770,211051,209420,209210,209472,208505,206427,203527,200228,196943,193988,191592,190296,190167,190287,190555,191349,192677,194173,195524,196892,198080,198843,199351
55,Czechia,Country,CZE,"Population ages 0-14, total",SP.POP.0014.TO,2461129,2409098,2355634,2313447,2289746,2266289,2234015,2197881,2163812,2135945,2102876,2079366,2082756,2108753,2161392,2225418,2285592,2338201,2379133,2406494,2417167,2420542,2425882,2428416,2426508,2418677,2403080,2377184,2337504,2282585,2213843,2150212,2096571,2042733,1985836,1928488,1875869,1826533,1780547,1735914,1688530,1641336,1600483,1563726,1530332,1502068,1479127,1470338,1475524,1487398,1508548,1531511,1550777,1568887,1589099,1610550,1630352,1650478,1671669,1692958,1707572,1681233,1702467
56,Germany,Country,DEU,"Population ages 0-14, total",SP.POP.0014.TO,15332629,15823436,16269425,16682743,17034212,17344975,17637117,17843512,18012935,18193079,18220024,18150478,18045559,17811867,17446531,16954538,16416228,15885093,15359420,14846937,14387106,13953444,13513923,13092754,12715320,12437428,12284440,12249096,12357141,12574958,12822917,13026218,13175596,13275101,13293459,13251830,13186297,13108188,13014778,12923791,12831415,12709705,12545005,12337187,12110377,11877160,11662211,11495034,11351336,11219314,11119468,10830441,10751064,10698650,10698789,10786446,10926988,11068979,11210224,11333040,11435908,11542029,11696671
57,Djibouti,Country,DJI,"Population ages 0-14, total",SP.POP.0014.TO,37917,39210,40722,42512,44650,47215,50067,53041,56124,59763,63980,68594,73745,79392,85917,93843,103338,114181,125698,136755,146299,153896,159847,165162,171168,178883,188705,200348,212761,228846,252333,273521,269862,263144,266756,267508,271415,276357,281671,286987,292420,298173,304101,309285,313471,317118,320598,323817,326503,329203,331930,334355,336682,338733,340154,340932,341143,340909,340466,340130,340032,340187,340653
58,Dominica,Country,DMA,"Population ages 0-14, total",SP.POP.0014.TO,26681,27399,27976,28533,29105,29776,30552,31390,32287,33195,33627,33416,33029,32647,32273,31906,31543,31168,30766,30311,29764,28895,27732,26620,25685,24901,24243,23710,23322,23105,23021,22953,22822,22662,22490,22287,22049,21768,21424,21007,20509,20028,19644,19291,18924,18532,18099,17614,17116,16654,16226,15875,15640,15316,15285,15226,14872,14711,14606,14559,14489,14383,14278
59,Denmark,Country,DNK,"Population ages 0-14, total",SP.POP.0014.TO,1153390,1137969,1126062,1121560,1124546,1131012,1141337,1151179,1152938,1150601,1150110,1150212,1151163,1152423,1151275,1147303,1139677,1128145,1112243,1092365,1067950,1037222,1006211,980976,960547,943614,927182,909728,894520,883706,876121,873502,877914,885673,895570,910124,926979,943144,958733,973360,986459,997298,1005230,1010315,1012557,1012494,1011795,1010436,1008817,1005065,998764,991460,982787,974112,966642,961754,959677,958654,956659,952954,948702,946750,948011
60,Dominican Republic,Country,DOM,"Population ages 0-14, total",SP.POP.0014.TO,1594742,1658312,1720702,1781035,1840810,1900167,1957947,2013290,2064550,2111951,2156477,2197527,2235408,2271634,2305589,2336796,2366260,2394432,2421338,2446989,2473217,2499764,2525626,2553558,2583377,2612530,2641079,2670072,2700366,2733765,2769659,2805429,2840222,2874105,2903517,2927405,2948338,2965225,2975981,2983525,2992294,3000546,3008905,3016671,3019538,3017901,3012254,3004276,2998097,2995684,2996580,2999310,3003401,3009834,3016546,3020984,3024322,3027902,3032034,3035703,3038478,3041808,3043932
61,Algeria,Country,DZA,"Population ages 0-14, total",SP.POP.0014.TO,5211644,5350058,5460644,5580961,5705901,5815854,5939056,6086028,6225195,6360202,6496998,6638882,6785870,6936002,7087957,7359419,7762463,8068941,8268423,8475386,8696660,8933764,9182394,9438480,9697367,9956659,10204818,10426960,10621339,10792000,10934367,11061558,11186606,11291154,11358252,11361220,11245512,11037028,10823516,10619510,10413266,10210933,10018934,9850680,9718834,9624314,9573291,9572368,9622867,9726992,9886094,10100229,10370488,10700395,11074025,11468788,11874029,12279473,12665338,13013432,13316668,13567972,13759806
62,East Asia & Pacific (excluding high income),Region,EAP,"Population ages 0-14, total",SP.POP.0014.TO,365005697,363212790,368924952,383484864,397625807,409589142,421755874,431534680,441388550,452644511,463464024,474551036,483615666,492015028,501810226,510935959,518799032,521361369,516259557,510100847,505646434,502218150,501444799,499217464,494466877,490466977,488135938,488402818,489585417,491653946,496121769,500402861,503077846,505265983,506178149,505491204,503332876,499198768,494593382,489970956,484241261,476916169,467521700,457843034,448389144,438299261,430436397,426145776,423465364,421891925,421040231,421009085,422640464,425008423,427465629,429278474,430990473,433648878,434882701,434131938,431442379,426522848,420240566
63,Early-demographic dividend,Economic Category,EAR,"Population ages 0-14, total",SP.POP.0014.TO,405978022,418741028,431815471,445186308,458327144,470796452,483117531,495637306,508207042,520732067,533058632,545006556,556988202,569346800,581713798,593916422,606177625,618529392,630965709,643801518,657245092,671611352,686505255,701275675,716063194,730914300,745653376,760300627,774816220,789037584,803905443,817510981,830451246,842475630,852873489,862289162,871515623,879683571,886529377,892518549,898281563,904005490,909320193,914079589,918424312,922386622,926015255,929440471,932954282,936508404,940250359,944217842,947939380,951462225,954637148,957252936,959074681,960076175,960795185,961139136,960838193,960214382,959156378
64,East Asia & Pacific,Region,EAS,"Population ages 0-14, total",SP.POP.0014.TO,413960291,412769653,418743973,433202450,447213567,459257722,471526114,481355169,491581923,503319463,514593894,526379917,535974775,544875061,555089869,564437607,572313900,574770485,569462196,563076708,558312292,554748690,553775597,551049750,545682845,540910106,537648681,536904042,537034535,538054734,541554829,545061874,547030779,548569025,548887724,547615762,544963888,540370663,535343745,530300855,524249938,516671221,506950144,496868072,486968320,476399439,468086063,463367025,460282493,458224444,456868027,456334011,457515487,459476358,461560259,463009192,464401785,466769043,467698986,466614941,463542014,458095361,451320002
65,Europe & Central Asia (excluding high income),Region,ECA,"Population ages 0-14, total",SP.POP.0014.TO,82276466,84774229,86543254,87949922,88793513,89223239,89464189,89729641,89878575,89759543,89379272,89011487,88720546,88385570,88005938,87582791,87240155,87062947,87010741,87263788,87917492,88778032,89833803,91034837,92375365,93727896,94983200,96158487,97210157,97886728,98186930,98322917,98147455,97689884,96971232,96007235,94885547,93436505,91517185,89280803,87056559,84709459,82265312,80169259,78534712,77119552,75998954,75256087,75153359,75400092,75802098,76366958,77150762,78159137,79312582,80570879,81801836,82882984,83784647,84533501,85033092,85523356,85137154
66,Europe & Central Asia,Region,ECS,"Population ages 0-14, total",SP.POP.0014.TO,187131426,190655930,192964129,194800966,196184130,197164783,197879463,198570511,199033757,199134835,198700258,198185557,197809984,197225196,196474758,195569798,194591761,193598001,192524246,191617347,191152296,190905876,190700625,190545405,190570011,190737457,190914172,191093610,191335430,191308429,190937825,190331354,189410709,188340858,186823577,184888721,182773328,180393348,177600286,174562909,171480729,168267501,165036406,162253863,159977682,157993592,156417078,155403985,155255879,155593758,156105799,156572839,157403014,158500674,159736992,161078290,162454355,163714529,164729422,165383133,165642917,165628440,164630599
67,Ecuador,Country,ECU,"Population ages 0-14, total",SP.POP.0014.TO,2035657,2105615,2177707,2248278,2316619,2385489,2455660,2526972,2599487,2672806,2746245,2819084,2891475,2963542,3034843,3105051,3173510,3239988,3305104,3369132,3432218,3495056,3557593,3619466,3680919,3742387,3804304,3865712,3925766,3984577,4041839,4097193,4149973,4199816,4247373,4292662,4335361,4375233,4412271,4446278,4476614,4503301,4527252,4549138,4568829,4586614,4603374,4620170,4637245,4654145,4671030,4688486,4703195,4709404,4706916,4699315,4688584,4677934,4673860,4670174,4659213,4644790,4625015
68,"Egypt, Arab Rep.",Country,EGY,"Population ages 0-14, total",SP.POP.0014.TO,11390275,11700418,11982067,12254270,12547688,12869270,13200539,13524273,13835660,14138007,14435716,14732550,15035583,15344301,15662701,16002158,16361282,16740613,17146163,17582913,18046410,18519983,19009243,19534246,20087518,20661298,21251670,21849077,22448575,23022641,23541039,23997836,24420310,24806867,25132541,25411440,25661591,25887397,26089949,26271476,26430301,26577762,26721358,26867777,27033787,27241561,27502099,27802588,28145471,28545400,29039106,29635603,30312105,31070487,31885425,32715929,33458363,34094957,34687971,35218376,35689370,36112209,36472399
69,Euro area,Union,EMU,"Population ages 0-14, total",SP.POP.0014.TO,67439587,68324176,68898217,69411184,69985861,70610016,71216016,71741041,72184941,72567823,72725185,72768832,72789819,72629308,72266705,71721794,71012183,70188230,69257107,68191249,67127310,66070631,64983638,63903310,62806289,61765609,60803701,59918487,59208998,58644982,58159541,57628399,57093024,56692698,56178581,55578154,54985341,54453408,53996365,53644810,53370419,53102896,52918598,52756920,52582766,52418617,52289507,52256493,52325384,52425030,52499919,52324831,52301751,52306635,52279309,52204216,52144414,52086750,52003080,51790871,51541938,51192470,50971165
70,Eritrea,Country,ERI,"Population ages 0-14, total",SP.POP.0014.TO,420496,428680,437686,448180,459797,473553,489484,505681,522051,538613,555538,572805,590179,607693,625541,643856,662657,681789,701157,720840,740923,761599,783053,805373,828296,851376,874739,898558,923029,947604,971810,922166,870385,893102,917091,947977,981457,1008468,1033450,1056032,1076616,1099858,1125614,1154708,1186022,1214775,1241480,1266647,1293841,1319616,1342540,1360615,1373654,1387455,1399890,1410062,1419243,1426229,1432009,1435622,1437458,1440228,1444014
71,Spain,Country,ESP,"Population ages 0-14, total",SP.POP.0014.TO,8356373,8422241,8507529,8572653,8665447,8797361,8927753,9068837,9203708,9313667,9425782,9532266,9611679,9675087,9730102,9775138,9823628,9863570,9864603,9815305,9733541,9621336,9477465,9322101,9152676,8965541,8756306,8525109,8278624,8014856,7728345,7455864,7223393,7004687,6788223,6585225,6403611,6248247,6120460,6022016,5958164,5940751,5996351,6102165,6207097,6316175,6449168,6601152,6756864,6883692,6974227,7047232,7085949,7080929,7060456,7039273,7016924,6993265,6955240,6904213,6818586,6688904,6592394
72,Estonia,Country,EST,"Population ages 0-14, total",SP.POP.0014.TO,280800,286073,290093,292823,294242,295268,295327,294567,295657,297749,300083,303507,306596,308449,309140,309370,310220,312009,314385,316808,319823,323902,328396,332528,335652,338108,340766,343935,347150,349407,349228,345175,334398,320250,308180,297392,286814,276591,266232,255647,246351,238140,229659,220925,212735,206033,201480,199156,199067,200655,202857,204858,206225,207437,208827,210657,212526,214415,216326,218070,218916,219196,221293
73,Ethiopia,Country,ETH,"Population ages 0-14, total",SP.POP.0014.TO,9297622,9509919,9736944,9990692,10276220,10585790,10894839,11223624,11593145,11985591,12403047,12844692,13294744,13735251,14143317,14525571,14943971,15286302,15588524,15858674,15985479,16423955,17085817,17523898,17890087,18340405,18874131,19564593,20431586,21318560,22207008,23281170,24350617,25263791,26195209,27115811,28036252,28990498,29967783,30944990,31885907,32788843,33666714,34520616,35370679,36218915,37046236,37875889,38700475,39480251,40228250,40954895,41645569,42295786,42926166,43570927,44244424,44933079,45653495,46430752,47243396,48066303,48889432
74,European Union,Union,EUU,"Population ages 0-14, total",SP.POP.0014.TO,92445198,93350184,93783070,94097067,94469107,94815842,95080831,95305970,95456429,95549951,95383104,95143289,95034340,94858752,94648711,94400021,94058495,93575465,92881295,92019207,91172083,90322324,89314942,88180924,87041512,85986282,85012114,84082314,83258519,82450510,81609060,80670469,79714532,78917047,77993924,76943389,75883113,74886260,73953354,73110378,72246855,71393765,70629735,69978130,69356981,68805390,68368271,68087812,67994069,68021473,68050303,67857001,67812726,67807948,67779033,67718488,67699429,67724222,67724947,67568748,67329534,66907277,66375525
75,Fragile and conflict affected situations,Economic Category,FCS,"Population ages 0-14, total",SP.POP.0014.TO,96500861,98967775,101482319,104116146,106790086,109474176,112179099,114950489,117814862,120731235,123720870,126857891,130127532,133483536,136925057,140482221,144301942,148129242,151843765,155760743,159559045,163150995,167071115,171258333,175622267,180078136,184446917,188836389,193149854,197593823,202925999,207295619,212377398,218053846,223744779,229056361,233987976,238851346,243644112,248557096,253495401,258524065,264360550,270645692,276764225,283001932,289319037,295722003,302619559,309932295,317385304,324928239,332774091,340838416,348641135,356099243,363428532,370634607,377714037,384797697,391929761,398973848,405210124
76,Finland,Country,FIN,"Population ages 0-14, total",SP.POP.0014.TO,1346634,1328310,1305304,1283079,1260931,1238793,1220277,1204427,1187380,1163957,1133856,1107131,1085779,1066924,1050872,1037047,1023795,1011156,997525,982919,970637,961035,954451,951231,950965,951552,951592,952288,956464,961115,963215,964871,966900,969453,971432,971951,970112,964907,956201,947030,939626,933922,929264,923528,917309,910716,904026,897874,892875,889750,888017,888353,890214,893235,895839,896336,895127,892334,886366,876679,866000,854904,843021
77,Fiji,Country,FJI,"Population ages 0-14, total",SP.POP.0014.TO,191477,197725,203926,210172,216090,221966,227363,231761,235472,238518,240863,242535,243439,243573,243319,243364,244369,246422,249305,252888,257113,261881,267195,272938,278936,285051,290730,295425,299257,302559,305140,305788,304879,303336,300830,297758,295344,293656,291969,290299,288691,287456,286486,285626,284925,284198,283549,282941,282410,281936,281183,280144,279110,278390,277848,277252,276370,274911,272850,270400,268641,267330,265999
78,France,Country,FRA,"Population ages 0-14, total",SP.POP.0014.TO,12240581,12383917,12413827,12433841,12465481,12496972,12536189,12575521,12612449,12654482,12697950,12755924,12820536,12863671,12861529,12805107,12705719,12603293,12500257,12390675,12316120,12272534,12239528,12191190,12121182,12045460,11953081,11842103,11739766,11670180,11642461,11696616,11699044,11667960,11612078,11537796,11455919,11380771,11345052,11359738,11401604,11447390,11485624,11520090,11555065,11593672,11636647,11681593,11743903,11825661,11902551,11965869,12026635,12082156,12111630,12103090,12060052,12015918,11977969,11928814,11860183,11772947,11690387
79,Faroe Islands,Territory,FRO,"Population ages 0-14, total",SP.POP.0014.TO,11188,11218,11239,11287,11367,11500,11638,11756,11899,12045,12128,12157,12188,12227,12272,12314,12331,12305,12241,12171,12100,12008,11892,11757,11636,11557,11509,11484,11490,11566,11556,11397,11199,10950,10643,10471,10484,10543,10654,10754,10848,10951,11048,11130,11154,11054,10886,10764,10697,10637,10552,10456,10353,10291,10271,10245,10306,10425,10541,10704,10840,10931,11000
80,"Micronesia, Fed. Sts.",Country,FSM,"Population ages 0-14, total",SP.POP.0014.TO,19125,19964,20844,21717,22580,23391,24148,24928,25733,26573,27450,28345,29236,30119,30990,31694,32250,32830,33602,34561,35529,36495,37456,38402,39325,40209,41039,41838,42599,43302,43959,44559,45431,46596,47492,47611,47182,46702,46183,45552,44893,44306,43732,43173,42581,41942,41238,40437,39628,38886,38214,37761,37424,37003,36592,36194,35893,35691,35451,35189,34927,34727,34603
81,Gabon,Country,GAB,"Population ages 0-14, total",SP.POP.0014.TO,161433,165271,169334,173774,178497,183278,188258,193552,199143,205196,211718,218576,225802,233360,241190,249339,257891,266883,276345,286256,296606,307458,318749,330410,342366,354507,366788,379237,391859,404509,417027,429324,441366,453088,464281,474722,484411,493697,502843,511886,521033,530363,539772,549309,559254,569913,581415,593880,607458,622705,640119,659542,680168,701246,722544,743649,764190,783999,802920,820794,837417,852733,866825
82,United Kingdom,Country,GBR,"Population ages 0-14, total",SP.POP.0014.TO,12240197,12328940,12381617,12446996,12567072,12727647,12895465,13059295,13199415,13315306,13418203,13501365,13521532,13456111,13322271,13128666,12885520,12607086,12323554,12067603,11839769,11619374,11399467,11202314,11041319,10919691,10820064,10756427,10757290,10806137,10893591,11009543,11129265,11226563,11276167,11284512,11285593,11290120,11288034,11270492,11223632,11155575,11079119,11005113,10954956,10917975,10889920,10894833,10934191,10989570,11064380,11152171,11238069,11322908,11416760,11539391,11679120,11808720,11901953,11946384,11932645,11837654,11697707
83,Georgia,Country,GEO,"Population ages 0-14, total",SP.POP.0014.TO,1046158,1084423,1116144,1141549,1161791,1176265,1195354,1221464,1243441,1259272,1262081,1255961,1248216,1237695,1225370,1210302,1195517,1181091,1166582,1156583,1152953,1154139,1158520,1164004,1169686,1176577,1183669,1190204,1198015,1197601,1198383,1210703,1222232,1231682,1210278,1159985,1110623,1065490,1026622,989395,950820,914078,881804,851362,821849,791696,763250,740502,726637,715475,708689,702252,697710,698003,706834,721997,736865,750331,762086,770540,778310,782306,789432
84,Ghana,Country,GHA,"Population ages 0-14, total",SP.POP.0014.TO,3109271,3232755,3340659,3447256,3549760,3652815,3757497,3861292,3965142,4071981,4187811,4309049,4429640,4548630,4664751,4778095,4888248,5003148,5128703,5264628,5413956,5575687,5749811,5940446,6134398,6322325,6513873,6704388,6885943,7058629,7224724,7385716,7529294,7652051,7759618,7854715,7943295,8026833,8106062,8197982,8314470,8444881,8583909,8730757,8885190,9053814,9232075,9412292,9599918,9801264,10018553,10252204,10499588,10749683,10990165,11218820,11431858,11612905,11777392,11942791,12093914,12231906,12365113
85,Gibraltar,Territory,GIB,"Population ages 0-14, total",SP.POP.0014.TO,5624,5552,5629,5798,5939,6079,6235,6398,6556,6709,6865,6993,7070,7116,7137,7121,7099,7098,7090,7058,6998,6926,6901,6895,6844,6739,6577,6377,6168,5921,5637,5387,5311,5379,5435,5455,5451,5439,5411,5359,5290,5161,5100,5174,5258,5348,5406,5438,5495,5568,5657,5746,5819,5822,5792,5789,5779,5769,5752,5708,5636,5587,5563
86,Guinea,Country,GIN,"Population ages 0-14, total",SP.POP.0014.TO,1367899,1396487,1426887,1459656,1497195,1533080,1564228,1596323,1629553,1663883,1699196,1735524,1772689,1810572,1848993,1887881,1927454,1968120,2010453,2055322,2102540,2151620,2203453,2258248,2315804,2376511,2440772,2509178,2581384,2656615,2758394,2879648,2983158,3085867,3189430,3287181,3387841,3483257,3575573,3667859,3757362,3839308,3918295,3998472,4076993,4155101,4233869,4314187,4396982,4483315,4572927,4662553,4750667,4841821,4937371,5037241,5142124,5248609,5354068,5458119,5560605,5660868,5757403
87,"Gambia, The",Country,GMB,"Population ages 0-14, total",SP.POP.0014.TO,163346,167157,171391,176399,182379,188758,195073,201494,208092,214875,221852,229029,236492,244287,252860,262244,272069,282381,293168,304525,316554,329228,342564,356738,371269,386054,401654,418061,435261,453276,472201,492122,512569,532440,551007,568688,586240,603987,622173,640527,658675,676808,694959,714602,736267,758864,782611,807389,832858,859176,886273,913964,941912,969401,996081,1021911,1046578,1069984,1091677,1111663,1130638,1148432,1165091
88,Guinea-Bissau,Country,GNB,"Population ages 0-14, total",SP.POP.0014.TO,217869,221592,228069,234070,238671,241494,243442,245476,247871,249618,250956,251872,252327,253092,260509,277432,299865,326720,355774,370968,376031,385352,394806,404103,413011,421421,429354,436902,444176,451247,457800,465810,477316,491123,504244,514158,521543,527981,534486,541500,549270,558062,568063,579338,591579,605014,619763,635461,651347,666954,682570,698744,715520,732507,749158,764934,779705,792898,804646,815706,826151,835872,844621
89,Equatorial Guinea,Country,GNQ,"Population ages 0-14, total",SP.POP.0014.TO,103596,106213,108914,111689,114171,116390,118760,121336,124110,125964,126013,124779,122774,120413,118002,115732,113592,112455,112849,114724,118869,125436,133867,141265,147285,154062,161399,169134,177185,185522,194124,202985,212101,221459,230993,240626,250401,260363,270540,280638,292745,306192,318016,328557,338446,348594,359977,373259,388680,406174,425436,444065,461838,480675,500435,521014,542338,563812,584527,603721,620158,633624,644693
90,Greece,Country,GRC,"Population ages 0-14, total",SP.POP.0014.TO,2211827,2218360,2214356,2203620,2194411,2192548,2200233,2210866,2216691,2211693,2199184,2189672,2187341,2184096,2182103,2198014,2231028,2256072,2277070,2292845,2297720,2293417,2273706,2247075,2214849,2174962,2130275,2085981,2042289,1999790,1966017,1935183,1897394,1856407,1811748,1764175,1718884,1680384,1647650,1618604,1598183,1586852,1577882,1569511,1564876,1569442,1578276,1585988,1596905,1609916,1619965,1622976,1617144,1605842,1591915,1574493,1560239,1550619,1540280,1530089,1516781,1486054,1446149
91,Grenada,Country,GRD,"Population ages 0-14, total",SP.POP.0014.TO,44738,45662,46300,46832,47281,47648,47910,48022,47908,47558,46731,45398,43967,42621,41395,40310,39374,38572,37889,37318,36837,36453,36296,36423,36600,36739,36876,36942,36822,36663,36645,36755,36968,37193,37399,37460,37402,37235,36867,36358,35745,34935,33805,32678,31734,30840,30054,29403,28889,28500,28215,28116,28177,28276,28392,28513,28739,29061,29360,29628,29844,29995,30067
92,Greenland,Territory,GRL,"Population ages 0-14, total",SP.POP.0014.TO,14228,14865,15541,16294,16994,17894,18465,18865,19278,19681,20070,20052,20010,19697,19211,18467,17607,16618,15772,15194,14674,14197,13698,13339,13140,13077,13104,13332,13677,14023,14360,14594,14760,14933,15204,15377,15387,15374,15338,15242,15109,14938,14780,14588,14386,14111,13751,13392,13073,12857,12773,12545,12342,12128,11975,11831,11745,11674,11632,11719,11782,11834,11819
93,Guatemala,Country,GTM,"Population ages 0-14, total",SP.POP.0014.TO,1918470,1977675,2035864,2092623,2149339,2207434,2266652,2326010,2385152,2444615,2504474,2565729,2628459,2692240,2753511,2812161,2872818,2936489,3004365,3077440,3156869,3242387,3336051,3433665,3529567,3625021,3721258,3819169,3918672,4018817,4117848,4215650,4311436,4404260,4498498,4594597,4687820,4777766,4866188,4955130,5051905,5148816,5234400,5305260,5364798,5415985,5460110,5497236,5527923,5552208,5570348,5585408,5597970,5608228,5618208,5629320,5637398,5643025,5648770,5650611,5643923,5634189,5623145
