id,Country Name,Category,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
12,American Samoa,Territory,ASM,"Population ages 0-14, total",SP.POP.0014.TO,9833,10015,10247,10516,10820,11151,11483,11808,12140,12473,12698,12796,12869,12946,13036,13154,13276,13364,13431,13495,13673,14020,14433,14867,15333,15840,16394,16999,17657,18370,19014,19517,19979,20450,20936,21431,21921,22384,22803,23198,23382,23242,22951,22597,22173,21676,21125,20545,19978,19480,18964,18394,17846,17302,16750,16180,15585,14966,14326,13672,13025,12390,12019
13,Antigua and Barbuda,Country,ATG,"Population ages 0-14, total",SP.POP.0014.TO,22548,22893,23228,23590,24208,25019,25783,26556,27320,28045,28247,27864,27307,26641,25913,25149,24423,23796,23219,22710,22218,21664,21113,20611,20083,19625,19323,19075,18903,18833,18831,18838,18892,19048,19277,19561,19904,20248,20509,20675,20862,21023,21032,20972,20875,20722,20595,20520,20497,20504,20377,20134,19861,19579,19326,19029,18688,18398,18118,17859,17683,17545,17390
14,Australia,Country,AUS,"Population ages 0-14, total",SP.POP.0014.TO,3102729,3165645,3228925,3274289,3324362,3372215,3430332,3450329,3487226,3543368,3599427,3705100,3748873,3770291,3819869,3811051,3784571,3760568,3739221,3717802,3709891,3722402,3743142,3746087,3735117,3720536,3702925,3693234,3703187,3729396,3758588,3787510,3814252,3832361,3852178,3874592,3896004,3909517,3918837,3931994,3946041,3962039,3968117,3973231,3976103,3985940,4004612,4047567,4100811,4158640,4198448,4238161,4304760,4377142,4439583,4501357,4569485,4635819,4688138,4732153,4755814,4719265,4727819
15,Austria,Country,AUT,"Population ages 0-14, total",SP.POP.0014.TO,1553750,1589681,1616107,1639050,1667652,1698386,1729722,1760843,1787157,1807608,1819711,1824378,1823242,1813470,1793123,1761187,1721547,1678602,1631230,1582480,1541793,1512107,1480906,1444034,1410870,1384368,1363321,1346846,1338284,1338413,1345403,1362687,1387153,1406249,1415151,1416076,1411053,1400676,1388646,1377565,1365678,1352940,1343038,1334790,1326563,1317948,1304092,1286374,1269241,1253224,1239877,1229348,1221818,1219169,1222502,1236508,1255365,1268431,1275901,1280932,1284315,1288336,1300046
16,Azerbaijan,Country,AZE,"Population ages 0-14, total",SP.POP.0014.TO,1592457,1721008,1826140,1918932,2010611,2088066,2157327,2215009,2260801,2297573,2323042,2340706,2348179,2343977,2331115,2309651,2269356,2216659,2168933,2140471,2131924,2131911,2143529,2162539,2190937,2225999,2266313,2315001,2364089,2423390,2478372,2519249,2561179,2598341,2620299,2626068,2619845,2604494,2580378,2543845,2494561,2435724,2372908,2310826,2254931,2207577,2169825,2143605,2148051,2160735,2164509,2184097,2218205,2261488,2308586,2355505,2397995,2426455,2439902,2447294,2444968,2425452,2381310
17,Burundi,Country,BDI,"Population ages 0-14, total",SP.POP.0014.TO,1230972,1262843,1296436,1330076,1368525,1403153,1431568,1462662,1495118,1528326,1562758,1599464,1619728,1635019,1667491,1705069,1744177,1786049,1832016,1881316,1942382,2011324,2079781,2151200,2223620,2295853,2366951,2439560,2512717,2585856,2658320,2727624,2798157,2825613,2851319,2909290,2940114,2957111,2979763,3008024,3040204,3081219,3133389,3197615,3277080,3370430,3476505,3595898,3729243,3904212,4095897,4271124,4456391,4651531,4845016,5020548,5177188,5323288,5462495,5593800,5709324,5810391,5899745
18,Belgium,Country,BEL,"Population ages 0-14, total",SP.POP.0014.TO,2166933,2185217,2195584,2215389,2241748,2267137,2284953,2295089,2295881,2290913,2279793,2269259,2258894,2239199,2211734,2179830,2144211,2106878,2068920,2029688,1993815,1961509,1932942,1907581,1882578,1856788,1832303,1812482,1802825,1801253,1804990,1813403,1821891,1827354,1826737,1820907,1814415,1810079,1806819,1804980,1805037,1805998,1805646,1802777,1799498,1798169,1798564,1801583,1810283,1824709,1844439,1871384,1884455,1894939,1904392,1914607,1922295,1928036,1934402,1938686,1937735,1933517,1932087
19,Benin,Country,BEN,"Population ages 0-14, total",SP.POP.0014.TO,965787,989368,1016249,1046822,1083104,1119349,1152604,1186817,1221867,1257845,1294626,1332325,1371026,1410432,1450457,1491333,1532956,1575563,1619401,1665326,1714640,1767400,1822904,1880223,1939432,2000913,2064586,2130544,2198899,2268976,2340994,2415552,2491917,2579283,2669170,2749594,2828845,2909760,2992616,3076854,3161604,3247014,3334338,3425350,3520644,3620230,3721628,3823500,3926325,4025854,4126514,4234230,4347080,4464990,4588894,4718568,4853115,4991036,5128751,5264873,5400214,5533818,5665755
20,Burkina Faso,Country,BFA,"Population ages 0-14, total",SP.POP.0014.TO,1909408,1937327,1969254,2010445,2059876,2111191,2163063,2215795,2269612,2323860,2378278,2432938,2488341,2545667,2606090,2670878,2740817,2817368,2901723,2992952,3089512,3190353,3295393,3404988,3520440,3642642,3769094,3897191,4025394,4152734,4279708,4405883,4530016,4651178,4770696,4891374,5014380,5139166,5267241,5399304,5534395,5673413,5817299,5970279,6134792,6310709,6499771,6700252,6910165,7128325,7352611,7582350,7817464,8055498,8293004,8526727,8752944,8968854,9174951,9373448,9564122,9744403,9913646
21,Bangladesh,Country,BGD,"Population ages 0-14, total",SP.POP.0014.TO,21299284,22044274,22854463,23727999,24659336,25590091,26508919,27456617,28419566,29383752,30235123,30784363,31422439,32324506,33187792,33933344,34578955,35285256,36074232,36913835,37839239,38857039,39917426,40955839,41929446,42816899,43588887,44236575,44819364,45392957,45958069,46359538,46654033,46961558,47238706,47449452,47566600,47679889,47834435,48009362,48200365,48483067,48829061,49150927,49424493,49613868,49723388,49792760,49798436,49703118,49535964,49300535,48966075,48568871,48143480,47666620,47168634,46647833,46111201,45611014,45173820,44799782,44455660
