id,Country Name,Category,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,Armenia,Country,ARM,"Population ages 15-64, total",SP.POP.1564.TO,1065003,1084104,1110028,1141666,1176181,1213050,1252477,1293679,1336979,1382568,1429922,1479701,1533590,1591875,1654160,1719660,1785020,1848668,1911643,1965237,2003188,2033269,2060425,2084784,2106181,2125242,2142880,2158898,2168513,2226061,2295587,2323527,2275848,2177798,2110297,2072659,2059711,2047301,2037893,2032635,2028347,2023610,2020464,2020686,2023892,2030355,2039899,2052254,2064467,2072039,2073112,2067618,2057353,2043485,2026872,2006933,1983725,1958831,1933718,1908739,1886737,1865265,1845507
12,American Samoa,Territory,ASM,"Population ages 15-64, total",SP.POP.1564.TO,9725,10081,10499,10905,11295,11685,12064,12439,12836,13268,13705,14110,14493,14863,15238,15661,16138,16635,17140,17655,18286,19066,19907,20781,21687,22617,23568,24527,25492,26464,27284,27901,28471,29045,29630,30219,30810,31411,32006,32588,32997,33167,33248,33301,33351,33435,33542,33645,33710,33691,33669,33647,33521,33300,33003,32646,32236,31783,31297,30760,30184,29563,29039
13,Antigua and Barbuda,Country,ATG,"Population ages 15-64, total",SP.POP.1564.TO,30736,31198,31501,31766,31892,31937,32040,32181,32383,32673,33130,33594,33891,34129,34407,34783,35257,35806,36391,36980,37555,38106,38634,39143,39495,39562,39480,39355,39179,38957,38733,39088,40082,41133,42175,43250,44344,45465,46598,47701,48744,49724,50669,51588,52527,53566,54658,55782,56946,58105,59233,60310,61317,62205,62954,63659,64268,64742,65183,65573,65896,66173,66416
14,Australia,Country,AUS,"Population ages 15-64, total",SP.POP.1564.TO,6292375,6417818,6589642,6733296,6882453,7038353,7223348,7341981,7502007,7683920,7854797,8142939,8312505,8465462,8716702,8863079,8994679,9140881,9288752,9425006,9569000,9744907,9942754,10112198,10271131,10448204,10640853,10839764,11043284,11245929,11415078,11549946,11664387,11754306,11858713,11989636,12140698,12282166,12417030,12568636,12729175,12909312,13076482,13247817,13407531,13587612,13785404,14049608,14342140,14637328,14844429,15010632,15217504,15420332,15593448,15760132,15950251,16164960,16363671,16566343,16729640,16710291,16882242
15,Austria,Country,AUT,"Population ages 15-64, total",SP.POP.1564.TO,4633265,4617690,4615737,4620920,4619535,4615259,4614238,4615958,4609383,4598618,4597890,4611662,4640698,4676463,4694173,4692362,4707837,4741844,4772679,4802105,4846328,4914857,4979548,5033355,5082055,5109326,5122590,5127529,5130120,5148524,5185162,5232760,5284193,5319765,5330400,5330655,5336622,5347896,5362014,5383919,5411062,5448046,5491630,5532119,5561678,5577847,5587256,5598503,5616074,5629260,5648587,5675763,5696737,5719020,5753902,5812079,5866325,5893061,5906977,5918009,5925020,5926351,5950883
16,Azerbaijan,Country,AZE,"Population ages 15-64, total",SP.POP.1564.TO,2117537,2138015,2153874,2184304,2234676,2288852,2349004,2411103,2477595,2551401,2630556,2719209,2815403,2917254,3025569,3137636,3257870,3384785,3509347,3619922,3717330,3816488,3907709,3992855,4073600,4142664,4204463,4261248,4308814,4344766,4379814,4425539,4480951,4538789,4601677,4671653,4746739,4829451,4920011,5013501,5109845,5209603,5310291,5413099,5525064,5648279,5776611,5905867,6092006,6272038,6385040,6489844,6578456,6650675,6711491,6764283,6811714,6857549,6904446,6951369,6994975,7031387,7039605
17,Burundi,Country,BDI,"Population ages 15-64, total",SP.POP.1564.TO,1428375,1463447,1498656,1523236,1566713,1614113,1658365,1705522,1748202,1784378,1820679,1865288,1841986,1818985,1872125,1920750,1960563,2012198,2074989,2120967,2230750,2335414,2375980,2425996,2466858,2498287,2519351,2561217,2601462,2630444,2668427,2710798,2788533,2580828,2587647,2870539,2840833,2819460,2906869,3020979,3114122,3228115,3355274,3498292,3672749,3842032,3999697,4160877,4354067,4601145,4818278,4966145,5114316,5266391,5412142,5462539,5473327,5568790,5754654,5990972,6209464,6430031,6669914
18,Belgium,Country,BEL,"Population ages 15-64, total",SP.POP.1564.TO,5889316,5886018,5893426,5924102,5963608,5998484,6020767,6039466,6057818,6074963,6081952,6096517,6128002,6161837,6204402,6250495,6293685,6331230,6364225,6399672,6442076,6487538,6537760,6590223,6629738,6646669,6651137,6654808,6666199,6674483,6673010,6673807,6679959,6689623,6697475,6698372,6697743,6701076,6705137,6713345,6723820,6743920,6774608,6805014,6836408,6881331,6944194,7013018,7073628,7123379,7176760,7249661,7267828,7277628,7285273,7306314,7325397,7333843,7346245,7366035,7384578,7402978,7448221
19,Benin,Country,BEN,"Population ages 15-64, total",SP.POP.1564.TO,1396607,1412722,1428389,1442783,1454000,1467741,1486863,1507182,1528898,1552022,1576597,1602803,1630944,1661224,1693780,1728953,1767431,1809287,1854123,1901782,1952106,2005020,2060310,2118012,2178179,2240944,2306725,2375656,2447482,2522690,2601523,2683599,2768890,2924842,3048017,3088773,3163742,3261986,3371766,3487122,3606758,3730128,3857165,3987921,4121820,4270093,4414563,4550231,4697712,4855367,5018750,5182561,5348799,5517939,5694681,5876198,6059293,6247970,6443462,6645752,6852380,7063242,7277900
20,Burkina Faso,Country,BFA,"Population ages 15-64, total",SP.POP.1564.TO,2747408,2784842,2820311,2848908,2872365,2898070,2926020,2955791,2987939,3021621,3057279,3092800,3128867,3167896,3211487,3260229,3314439,3377205,3446377,3519457,3598044,3680175,3765504,3857582,3954746,4052763,4147987,4240757,4335593,4434634,4539006,4642117,4747490,4864310,4992774,5130974,5272892,5421378,5593659,5789949,5999424,6221808,6454255,6692664,6935961,7182028,7424317,7655353,7875966,8098235,8328092,8570848,8833680,9108761,9397743,9703705,10024653,10357389,10694927,11040724,11407221,11793330,12185694
21,Bangladesh,Country,BGD,"Population ages 15-64, total",SP.POP.1564.TO,27580799,28283605,29006832,29713769,30404573,31136766,31915005,32732195,33582627,34411530,35166177,35460980,35793839,36608767,37466310,38384750,39321545,40270986,41248866,42210450,43208765,44318734,45563067,46920954,48343108,49787346,51237943,52723265,54260481,55824497,57447194,59072788,60732893,62491456,64330045,66209208,68086718,70033213,72044989,74085380,76134099,78139758,80071880,81921372,83745577,85497651,86933413,88216600,89351100,90580787,92256484,94116706,96129495,98276729,100454049,102575958,104744797,106941690,108985072,110894720,112816371,114687891,116383491
22,Bulgaria,Country,BGR,"Population ages 15-64, total",SP.POP.1564.TO,5229328,5291243,5354518,5416396,5474638,5522389,5561288,5597872,5633284,5663500,5685679,5704263,5719726,5733707,5748139,5751074,5755282,5768475,5760932,5757488,5777551,5800762,5826257,5858016,5889929,5896856,5890643,5889240,5888590,5818762,5717728,5670017,5622831,5592672,5591744,5587864,5580058,5568563,5553373,5537362,5521592,5427238,5327942,5305099,5283071,5256073,5220366,5176982,5129121,5076737,5015444,4948648,4881414,4814205,4751668,4693084,4635204,4577516,4519501,4463647,4418066,4373155,4113496
23,Bahrain,Country,BHR,"Population ages 15-64, total",SP.POP.1564.TO,87737,90748,93782,96848,100001,102704,104941,107392,110186,113295,116653,122251,131079,141399,152443,164065,176064,188259,200540,212842,225106,236264,246217,256230,266610,277302,288230,299236,310135,320827,331351,342500,355032,368847,383670,399308,415752,432988,450671,468325,485650,502617,519452,547197,597277,659164,721560,784181,847025,910042,939534,936359,950784,980619,1011194,1046911,1085892,1125298,1149269,1150279,1130322,1114044,1119746
24,"Bahamas, The",Country,BHS,"Population ages 15-64, total",SP.POP.1564.TO,63116,66181,69452,72903,76183,79319,82553,85780,89078,92540,96365,100198,103596,106798,110131,113801,117862,122242,126782,131331,135778,139744,143322,146906,150304,153626,157109,160689,164374,168171,172109,176173,180261,184171,187886,191717,195678,199611,203552,207468,211553,215637,219413,223145,226968,230842,234771,238826,242945,246947,251619,256712,261229,265486,269650,273695,277677,281561,285172,288381,290849,292916,295378
25,Bosnia and Herzegovina,Country,BIH,"Population ages 15-64, total",SP.POP.1564.TO,1878686,1906230,1937135,1971903,2009902,2050794,2094512,2141053,2190074,2240227,2290080,2338474,2385024,2430712,2476973,2524214,2572229,2620521,2668880,2717272,2765443,2812827,2858867,2902929,2943855,2980834,3013929,3042883,3066553,3084388,3096906,3103165,2906731,2622671,2471532,2468283,2614582,2744855,2811308,2852730,2885013,2907936,2919860,2915328,2886948,2853534,2832833,2801385,2756407,2708940,2662776,2618068,2572078,2531636,2494930,2454005,2412441,2369660,2324768,2279522,2234386,2189487,2157762
26,Belarus,Country,BLR,"Population ages 15-64, total",SP.POP.1564.TO,5062078,5067318,5092670,5138878,5201296,5269217,5339693,5416041,5497755,5583821,5670538,5757119,5845610,5933748,6016587,6091668,6162558,6235602,6309561,6373827,6433061,6497624,6559648,6615168,6664046,6708456,6747852,6777834,6772472,6764680,6753198,6735186,6732524,6736330,6724125,6706225,6699206,6700414,6713022,6732601,6746976,6754627,6752560,6742926,6732526,6719466,6709131,6709208,6714272,6717245,6709807,6683135,6640107,6590587,6542450,6502346,6462580,6413187,6360836,6308566,6247755,6170451,6094192
27,Belize,Country,BLZ,"Population ages 15-64, total",SP.POP.1564.TO,46513,47206,47871,48587,49382,50252,51213,52285,53463,54759,56102,57348,58456,59484,60489,61863,63640,65487,67372,69310,71487,73981,76516,78879,81026,83064,85186,87414,89709,92038,94400,96720,99203,101979,105058,108748,113203,118340,123861,129446,134937,140357,145823,151389,157068,162906,168946,175198,181631,188241,195097,202089,209063,216091,223155,230147,237022,243729,250261,256675,262298,267254,272238
28,Bermuda,Territory,BMU,"Population ages 15-64, total",SP.POP.1564.TO,27157,27901,28755,29655,30604,31527,32241,33008,33784,34569,35395,35363,35368,35416,35474,35521,35946,36355,36756,37146,37970,38418,38872,39386,39894,40384,40886,41353,41796,42190,42532,42248,41834,41946,42135,42359,42562,42754,43016,43215,43567,44011,44285,44571,44863,45195,45560,45906,46171,46378,45886,45259,45179,45096,45023,44957,44258,43416,43029,42625,42200,41715,41223
29,Bolivia,Country,BOL,"Population ages 15-64, total",SP.POP.1564.TO,2011208,2057109,2104324,2151256,2197176,2243802,2292031,2341507,2392417,2445000,2499286,2555433,2613635,2674514,2737826,2802654,2868889,2936549,3005729,3076340,3148061,3220738,3294740,3370437,3447622,3526047,3606062,3687927,3771755,3857400,3944403,4033027,4123501,4209995,4292365,4376745,4463961,4554504,4648783,4747541,4851108,4963640,5085593,5212455,5343196,5477335,5614336,5752921,5892126,6031280,6170180,6309718,6449685,6591185,6735916,6881432,7025856,7169627,7312945,7455693,7593734,7726980,7862863
30,Brazil,Country,BRA,"Population ages 15-64, total",SP.POP.1564.TO,38946430,39999791,41096496,42267024,43533179,44873615,46247968,47662049,49122574,50632853,52199085,53815928,55486868,57217189,59000526,60833433,62714084,64649786,66634722,68645122,70665645,72676386,74665855,76641897,78618045,80611684,82622303,84646706,86697760,88770384,90868427,92992528,95149326,97355941,99614642,101918393,104257762,106627027,109006750,111375254,113723821,116036453,118297028,120484166,122599349,124649426,126631537,128555114,130440998,132309102,134182780,136055226,137882323,139643831,141291467,142802802,144236047,145586706,146810991,147950382,148969796,149767451,150400744
31,Barbados,Country,BRB,"Population ages 15-64, total",SP.POP.1564.TO,132382,132197,131656,131223,130810,130591,130695,130996,131538,132451,133831,135642,137832,140283,142860,145542,148284,150957,153435,155641,157516,159054,160287,161276,162121,162922,163755,164655,165587,166469,167488,168861,170290,171504,172506,173315,174063,174813,175591,176373,177092,178066,179187,180271,181505,182834,184211,185449,186290,186726,187188,187801,188316,188759,189156,189546,189957,190183,190140,189881,189385,188748,188128
32,Brunei Darussalam,Country,BRN,"Population ages 15-64, total",SP.POP.1564.TO,43405,45022,46764,48781,51129,53814,56813,60088,63574,67204,70888,74423,77685,81010,84717,88780,93093,97556,102062,106512,110861,115115,119496,124169,129078,134198,139487,144851,150212,155557,160897,165858,170032,173965,178263,182968,188168,193927,200183,206787,213615,220592,227635,234650,241545,248254,254755,261099,267340,273510,279627,285068,289702,294027,298172,302199,305956,309358,312397,315086,317577,319969,322264
33,Bhutan,Country,BTN,"Population ages 15-64, total",SP.POP.1564.TO,126251,130143,134394,138732,143021,147252,151412,155771,160344,165152,170161,175330,180661,186168,191858,197748,203857,210197,216783,223534,230378,237321,244365,251609,259097,266785,274690,282822,291136,299637,307609,312908,301403,288329,289600,294439,301689,309035,317382,327962,340261,353335,367183,381792,397204,411314,422358,432094,441750,451111,460133,468827,477108,484970,492615,500206,507791,516402,525958,535278,544166,552490,560261
34,Botswana,Country,BWA,"Population ages 15-64, total",SP.POP.1564.TO,258774,261709,264896,268317,272766,274992,274005,272907,271888,271175,271641,276573,289032,307401,328157,349897,372566,396143,420658,446041,471768,496427,517712,536885,556582,576937,597903,619501,641956,665534,690293,716146,744282,774697,805803,837313,869357,901605,933544,965072,996249,1026961,1056697,1085463,1113887,1142326,1171271,1201411,1232906,1265019,1296818,1326859,1354844,1382815,1411719,1442111,1474947,1509630,1544215,1577834,1611382,1643461,1676627
35,Central African Republic,Country,CAF,"Population ages 15-64, total",SP.POP.1564.TO,937301,950685,964495,978558,994695,1013494,1033405,1054191,1075828,1098030,1119285,1138344,1155800,1173155,1191469,1210932,1226620,1237984,1249396,1260933,1272744,1285031,1297959,1311597,1325652,1339623,1353391,1367000,1384972,1416036,1456141,1498233,1544346,1594097,1646045,1692623,1738516,1790436,1844220,1900843,1960217,2008702,2058124,2111996,2158494,2208794,2250529,2287010,2330951,2377925,2421653,2443243,2437306,2422105,2381123,2365018,2406067,2451013,2498715,2559349,2634787,2691324,2753527
36,Canada,Country,CAN,"Population ages 15-64, total",SP.POP.1564.TO,10494001,10675681,10869371,11089817,11339648,11607495,11913272,12241477,12562690,12860518,13195025,13760122,14075044,14400708,14758665,15124940,15462972,15772616,16051583,16324135,16630720,16904979,17149439,17345144,17524588,17694335,17871252,18089501,18297611,18600984,18847999,19040955,19225645,19411102,19619681,19832495,20058467,20284244,20489628,20710473,20968129,21262292,21558268,21812234,22077714,22350146,22624574,22865623,23111668,23361613,23592245,23758358,23910513,24036987,24147355,24190332,24330226,24502656,24742773,24987960,25127758,25132144,25455715
37,Central Europe and the Baltics,Region,CEB,"Population ages 15-64, total",SP.POP.1564.TO,58247293,58713387,59335947,60086284,60884982,61609245,62373971,63281548,64127753,64878734,65505920,66058404,66624459,67094379,67466367,67779442,68032050,68229537,68414514,68581998,68846645,69277060,69913368,70692247,71305419,71688807,71996700,72273718,72521186,72681133,72824873,72867493,72878918,73088024,73341134,73499686,73598333,73733720,73912988,74131301,74081116,73906553,73753285,73834715,73910203,73924277,73885123,73692356,73433487,73210772,72822461,72440110,71943657,71400952,70810853,70175130,69484057,68760704,68068987,67430746,66798095,65937293,65366346
38,Switzerland,Country,CHE,"Population ages 15-64, total",SP.POP.1564.TO,3502255,3571040,3657197,3735926,3794278,3827546,3856051,3897228,3945064,3990159,4009900,4019064,4051010,4087200,4115690,4119947,4104998,4104340,4122417,4153624,4197185,4250033,4304232,4348689,4385670,4419161,4449653,4482133,4515453,4548888,4589545,4640714,4682667,4712180,4739178,4762122,4774804,4779629,4789788,4809903,4835920,4877527,4930436,4977367,5020418,5060219,5097421,5146837,5215088,5277274,5324519,5373298,5418212,5467989,5521551,5571771,5618817,5653337,5674165,5694350,5719712,5742300,5760782
39,Channel Islands,Region,CHI,"Population ages 15-64, total",SP.POP.1564.TO,71246,71965,72673,73459,74289,75070,75802,76501,77123,77660,78124,78628,79347,80269,81318,82463,83310,83732,84131,84658,85278,86233,87614,89102,90524,91864,93125,94323,95488,96574,97545,98038,98000,97883,97773,97703,97812,98141,98544,98955,99380,99886,100562,101341,102187,103141,104234,105391,106466,107437,108347,108697,108707,109144,109630,110274,111076,111911,113535,115479,117032,118307,119211
40,Chile,Country,CHL,"Population ages 15-64, total",SP.POP.1564.TO,4648408,4737863,4832118,4930235,5031822,5137715,5246572,5356479,5468361,5583550,5703775,5829624,5958524,6090686,6228429,6370665,6514831,6660468,6807577,6955993,7105263,7253684,7401437,7548447,7694101,7839327,7985430,8133324,8281001,8424736,8564931,8703946,8842834,8981860,9121594,9262532,9405318,9551155,9700428,9853407,10010039,10169856,10333879,10502180,10674260,10850217,11028048,11202016,11369721,11532057,11686611,11832020,11967095,12091158,12211695,12328424,12467153,12668844,12909544,13146408,13314429,13423378,13458005
41,China,Country,CHN,"Population ages 15-64, total",SP.POP.1564.TO,371478204,370644985,373916622,379324943,384608183,392459201,403156857,415082625,427511788,439885220,453299770,466792477,480289919,493168871,502808705,510508030,517729429,528738723,547101259,566480467,583687542,600441839,616596105,634113758,652879800,671252711,689171232,705817809,721706724,735923185,747174586,757775607,768432990,778388491,789242633,800991787,813656261,827885092,841225988,853178019,865485981,878790092,893626206,908333176,922710365,937712257,949961080,958367798,965322958,970985809,975573269,979815828,983744113,986335930,987820941,988302343,988046970,986411437,983747117,981428759,978973451,977101360,974838887
42,Cote d'Ivoire,Country,CIV,"Population ages 15-64, total",SP.POP.1564.TO,2021960,2095514,2172977,2250972,2330016,2412350,2497620,2585845,2677601,2776191,2886073,3009124,3144026,3287017,3435364,3589212,3755179,3924741,4082203,4226663,4359686,4484314,4603257,4718717,4831906,4944669,5059684,5208275,5460208,5742556,5989672,6251358,6531160,6825102,7128744,7440012,7755356,8070913,8366861,8610242,8807997,8985862,9177733,9402372,9646274,9902854,10167397,10439527,10718022,11002210,11295774,11551611,11778782,12030592,12352443,12742712,13144569,13557234,13983887,14423532,14875394,15332583,15805992
43,Cameroon,Country,CMR,"Population ages 15-64, total",SP.POP.1564.TO,2923676,2950384,2991917,3045644,3095432,3147009,3203714,3262746,3324674,3390090,3459291,3532380,3609725,3691489,3777654,3868404,3955316,4038189,4134270,4239202,4380449,4544528,4623098,4679042,4799422,4940609,5088209,5241741,5395945,5552375,5717817,5888591,6064640,6250128,6443647,6643985,6853638,7073620,7299935,7528987,7762774,8006316,8264272,8530686,8800483,9073084,9349184,9639577,9943768,10254363,10570734,10890637,11217872,11559587,11963449,12402017,12814437,13206590,13606407,14034248,14474160,14923302,15386690
44,"Congo, Dem. Rep.",Country,COD,"Population ages 15-64, total",SP.POP.1564.TO,8255955,8492566,8735715,8979559,9218426,9462479,9719354,9988659,10267068,10545561,10822599,11084175,11338596,11607905,11886867,12171378,12452828,12735487,13157588,13682252,14120575,14500966,14886652,15285707,15748547,16232114,16700459,17204206,17734551,18283761,18892109,19517105,20056749,20676253,21870425,22874029,23022211,23074747,23469236,24092224,24758314,25506150,26298298,27060446,27860623,28745016,29679780,30646012,31617848,32602707,33676139,34859554,36042076,37265648,38552131,39857726,41271767,42718391,44087884,45441388,46895823,48438607,50041821
45,"Congo, Rep.",Country,COG,"Population ages 15-64, total",SP.POP.1564.TO,569958,582031,594435,607952,622579,637753,653710,670386,687807,706008,725018,744909,765657,787273,809686,830124,848628,867925,888207,909773,932748,956881,981362,1005857,1034603,1067664,1101416,1136368,1172163,1209586,1248394,1288222,1328360,1372048,1416595,1459109,1502645,1532239,1565369,1615478,1699978,1784897,1829663,1887576,1965394,2050388,2141440,2231089,2307930,2410145,2518588,2593573,2653141,2701056,2752500,2808201,2870177,2939095,3013042,3091439,3174994,3263441,3357077
46,Colombia,Country,COL,"Population ages 15-64, total",SP.POP.1564.TO,7863959,8083498,8313930,8552851,8808143,9084650,9372475,9671804,9985467,10311218,10650951,10998285,11356833,11735224,12126788,12528664,12936490,13363618,13814818,14277953,14756400,15240893,15726831,16221285,16714046,17190242,17652525,18108971,18567026,19030955,19503642,19973088,20445476,20936261,21445139,21962775,22481811,23010541,23543493,24075732,24609531,25148826,25695703,26245043,26797208,27347850,27895361,28438763,28966906,29487399,30005339,30507350,30983933,31436885,31863569,32274550,32725009,33347909,34124172,34864151,35450454,35898966,36134433
47,Comoros,Country,COM,"Population ages 15-64, total",SP.POP.1564.TO,107519,108777,109966,111034,112067,113385,114995,116948,119379,122131,125151,128418,131911,135614,139514,143535,147713,152081,156569,161164,165744,169959,173626,177203,181127,185452,190199,195361,200913,206826,212830,218557,223950,229141,234464,240193,246358,252927,259869,265562,269838,274253,278879,285254,293749,302805,312043,321533,331409,341759,352544,363649,374956,386341,397726,409091,420518,431323,441139,450795,461089,471883,482706
48,Cabo Verde,Country,CPV,"Population ages 15-64, total",SP.POP.1564.TO,109602,110563,112420,114771,117434,120532,124122,128146,132599,137479,142343,145654,146986,147774,148766,149298,149335,149568,150112,151015,152619,154970,157561,160075,162404,164544,166553,168488,170389,172529,175315,179159,184230,190219,196828,203875,211309,219061,227032,235174,243233,251133,258999,266836,274671,282539,290459,298435,306412,314291,322461,330875,339071,347078,354920,362440,369431,375930,382057,387976,393798,399471,404943
49,Costa Rica,Country,CRI,"Population ages 15-64, total",SP.POP.1564.TO,688790,711870,736355,762330,789790,818037,847079,877558,909473,942874,977835,1014532,1053164,1093890,1136606,1181081,1227110,1274345,1322438,1370972,1419534,1467929,1515991,1562881,1608705,1653955,1698518,1742637,1786703,1832023,1880066,1931617,1986798,2045185,2106650,2170718,2236953,2305443,2375728,2446816,2517713,2587214,2654548,2720174,2784591,2847875,2909548,2969169,3026781,3082319,3135435,3185886,3233851,3279106,3321820,3363122,3402685,3438731,3471412,3501710,3528858,3552172,3573975
